id_pagamento,id_apolice,id_segurado,id_parcela,competencia,data_vencimento,data_pagamento,valor_pago,valor_esperado,status,metodo_pagamento,ramo,perfil_pagamento
PG-ital-00000057,AP-000057,SEG-000057,AP-000057-01,2024-01,2024-01-15,2024-01-15,481.96,481.96,Pago,Cartao,Vida,Bom
PG-ital-00000058,AP-000058,SEG-000058,AP-000058-01,2024-01,2024-01-18,2024-01-21,220.49,220.49,Pago,Debito,Residencial,Medio
PG-ital-00000059,AP-000059,SEG-000059,AP-000059-01,2024-01,2024-01-10,2024-01-10,694.04,694.04,Pago,Cartao,Saude,Bom
PG-ital-00000060,AP-000060,SEG-000060,AP-000060-01,2024-01,2024-01-08,2024-01-08,497.86,497.86,Pago,Cartao,Auto,Bom
PG-ital-00000061,AP-000061,SEG-000061,AP-000061-01,2024-01,2024-01-12,2024-01-15,513.27,513.27,Pago,Boleto,Residencial,Medio
PG-ital-00000062,AP-000062,SEG-000062,AP-000062-01,2024-01,2024-01-18,2024-01-18,465.40,465.40,Pago,Cartao,Residencial,Bom
PG-ital-00000063,AP-000063,SEG-000063,AP-000063-01,2024-01,2024-01-05,2024-02-02,224.62,224.62,Pago,Boleto,Vida,Ruim
PG-ital-00000064,AP-000064,SEG-000064,AP-000064-01,2024-01,2024-01-08,2024-01-08,506.32,506.32,Pago,Cartao,Empresarial,Medio
PG-ital-00000065,AP-000065,SEG-000065,AP-000065-01,2024-01,2024-01-08,2024-01-20,799.28,799.28,Pago,Cartao,Auto,Medio
PG-ital-00000066,AP-000066,SEG-000066,AP-000066-01,2024-01,2024-01-12,2024-01-12,687.81,687.81,Pago,Cartao,Vida,Bom
PG-ital-00000067,AP-000067,SEG-000067,AP-000067-01,2024-01,2024-01-08,2024-01-08,469.49,469.49,Pago,Boleto,Residencial,Bom
PG-ital-00000068,AP-000068,SEG-000068,AP-000068-01,2024-01,2024-01-08,2024-01-08,192.96,192.96,Pago,Cartao,Residencial,Bom
PG-ital-00000069,AP-000069,SEG-000069,AP-000069-01,2024-01,2024-01-10,2024-01-10,744.97,744.97,Pago,Cartao,Auto,Bom
PG-ital-00000070,AP-000070,SEG-000070,AP-000070-01,2024-01,2024-01-12,2024-01-12,496.58,496.58,Pago,Cartao,Residencial,Bom
PG-ital-00000071,AP-000071,SEG-000071,AP-000071-01,2024-01,2024-01-05,2024-01-05,491.33,491.33,Pago,Cartao,Vida,Bom
PG-ital-00000072,AP-000072,SEG-000072,AP-000072-01,2024-01,2024-01-12,2024-01-12,316.45,316.45,Pago,Debito,Saude,Bom
PG-ital-00000073,AP-000073,SEG-000073,AP-000073-01,2024-01,2024-01-10,2024-01-13,279.18,279.18,Pago,Boleto,Vida,Medio
PG-ital-00000074,AP-000074,SEG-000074,AP-000074-01,2024-01,2024-01-18,2024-01-18,813.35,813.35,Pago,Debito,Saude,Medio
PG-ital-00000075,AP-000075,SEG-000075,AP-000075-01,2024-01,2024-01-15,2024-01-15,746.06,746.06,Pago,Debito,Auto,Bom
PG-ital-00000076,AP-000076,SEG-000076,AP-000076-01,2024-01,2024-01-05,,0.00,154.30,Inadimplente,Debito,Residencial,Bom
PG-ital-00000077,AP-000077,SEG-000077,AP-000077-01,2024-01,2024-01-25,2024-01-25,185.75,185.75,Pago,Cartao,Auto,Bom
PG-ital-00000078,AP-000078,SEG-000078,AP-000078-01,2024-01,2024-01-10,2024-01-10,544.14,544.14,Pago,Debito,Empresarial,Bom
PG-ital-00000079,AP-000079,SEG-000079,AP-000079-01,2024-01,2024-01-05,2024-01-05,475.20,475.20,Pago,Debito,Residencial,Bom
PG-ital-00000080,AP-000080,SEG-000080,AP-000080-01,2024-01,2024-01-25,2024-01-25,344.90,344.90,Pago,Cartao,Vida,Medio
PG-ital-00000081,AP-000081,SEG-000081,AP-000081-01,2024-01,2024-01-08,,0.00,676.31,Inadimplente,Boleto,Empresarial,Ruim
PG-ital-00000082,AP-000082,SEG-000082,AP-000082-01,2024-01,2024-01-25,2024-01-25,145.35,145.35,Pago,Boleto,Vida,Bom
PG-ital-00000083,AP-000083,SEG-000083,AP-000083-01,2024-01,2024-01-05,2024-01-05,144.54,144.54,Pago,Boleto,Saude,Bom
PG-ital-00000084,AP-000084,SEG-000084,AP-000084-01,2024-01,2024-01-20,2024-01-20,468.84,468.84,Pago,Cartao,Residencial,Bom
PG-ital-00000085,AP-000085,SEG-000085,AP-000085-01,2024-01,2024-01-08,2024-01-10,709.80,709.80,Pago,Cartao,Vida,Bom
PG-ital-00000086,AP-000086,SEG-000086,AP-000086-01,2024-01,2024-01-05,2024-01-05,214.02,214.02,Pago,Debito,Saude,Medio
PG-ital-00000087,AP-000087,SEG-000087,AP-000087-01,2024-01,2024-01-20,2024-01-20,246.97,246.97,Pago,Debito,Saude,Bom
PG-ital-00000088,AP-000088,SEG-000088,AP-000088-01,2024-01,2024-01-18,2024-01-18,617.24,617.24,Pago,Cartao,Saude,Medio
PG-ital-00000089,AP-000089,SEG-000089,AP-000089-01,2024-01,2024-01-25,,0.00,585.30,Inadimplente,Boleto,Auto,Bom
PG-ital-00000090,AP-000090,SEG-000090,AP-000090-01,2024-01,2024-01-25,2024-01-25,214.62,214.62,Pago,Debito,Auto,Bom
PG-ital-00000091,AP-000091,SEG-000091,AP-000091-01,2024-01,2024-01-25,2024-01-25,116.04,116.04,Pago,Debito,Saude,Bom
PG-ital-00000092,AP-000092,SEG-000092,AP-000092-01,2024-01,2024-01-12,2024-01-14,308.26,308.26,Pago,Debito,Auto,Bom
PG-ital-00000093,AP-000093,SEG-000093,AP-000093-01,2024-01,2024-01-05,2024-01-20,859.95,859.95,Pago,Boleto,Auto,Ruim
PG-ital-00000094,AP-000094,SEG-000094,AP-000094-01,2024-01,2024-01-08,2024-01-10,173.89,173.89,Pago,Cartao,Vida,Bom
PG-ital-00000095,AP-000095,SEG-000095,AP-000095-01,2024-01,2024-01-08,2024-01-08,603.96,603.96,Pago,Cartao,Residencial,Medio
PG-ital-00000096,AP-000096,SEG-000096,AP-000096-01,2024-01,2024-01-12,2024-01-12,102.01,102.01,Pago,Cartao,Auto,Bom
PG-ital-00000097,AP-000097,SEG-000097,AP-000097-01,2024-01,2024-01-18,2024-01-18,649.95,649.95,Pago,Boleto,Residencial,Bom
PG-ital-00000098,AP-000098,SEG-000098,AP-000098-01,2024-01,2024-01-18,2024-01-19,367.73,367.73,Pago,Debito,Vida,Bom
PG-ital-00000099,AP-000099,SEG-000099,AP-000099-01,2024-01,2024-01-15,2024-01-15,192.60,192.60,Pago,Boleto,Auto,Medio
PG-ital-00000100,AP-000100,SEG-000100,AP-000100-01,2024-01,2024-01-18,2024-01-18,775.56,775.56,Pago,Debito,Saude,Bom
PG-ital-00000101,AP-000101,SEG-000101,AP-000101-01,2024-01,2024-01-15,2024-01-15,733.82,733.82,Pago,Boleto,Saude,Bom
PG-ital-00000102,AP-000102,SEG-000102,AP-000102-01,2024-01,2024-01-08,2024-01-08,344.40,344.40,Pago,Boleto,Empresarial,Bom
PG-ital-00000103,AP-000103,SEG-000103,AP-000103-01,2024-01,2024-01-18,2024-01-18,383.10,383.10,Pago,Cartao,Residencial,Bom
PG-ital-00000104,AP-000104,SEG-000104,AP-000104-01,2024-01,2024-01-15,2024-01-15,777.98,777.98,Pago,Boleto,Empresarial,Bom
PG-ital-00000105,AP-000105,SEG-000105,AP-000105-01,2024-01,2024-01-12,2024-01-14,252.16,252.16,Pago,Cartao,Residencial,Bom
PG-ital-00000106,AP-000106,SEG-000106,AP-000106-01,2024-01,2024-01-08,2024-01-08,201.31,201.31,Pago,Boleto,Residencial,Bom
PG-ital-00000107,AP-000107,SEG-000107,AP-000107-01,2024-01,2024-01-20,2024-01-20,385.80,385.80,Pago,Debito,Empresarial,Bom
PG-ital-00000108,AP-000108,SEG-000108,AP-000108-01,2024-01,2024-01-10,2024-01-10,124.40,124.40,Pago,Cartao,Empresarial,Medio
PG-ital-00000109,AP-000109,SEG-000109,AP-000109-01,2024-01,2024-01-25,2024-01-25,668.00,668.00,Pago,Cartao,Residencial,Bom
PG-ital-00000110,AP-000110,SEG-000110,AP-000110-01,2024-01,2024-01-10,2024-01-10,577.47,577.47,Pago,Debito,Saude,Bom
PG-ital-00000111,AP-000111,SEG-000111,AP-000111-01,2024-01,2024-01-20,2024-01-20,727.07,727.07,Pago,Debito,Saude,Bom
PG-ital-00000112,AP-000112,SEG-000112,AP-000112-01,2024-01,2024-01-10,2024-01-10,460.82,460.82,Pago,Boleto,Residencial,Ruim
PG-ital-00000113,AP-000113,SEG-000113,AP-000113-01,2024-01,2024-01-10,2024-01-10,390.90,390.90,Pago,Cartao,Residencial,Bom
PG-ital-00000114,AP-000114,SEG-000114,AP-000114-01,2024-01,2024-01-08,2024-01-08,171.38,171.38,Pago,Cartao,Vida,Bom
PG-ital-00000115,AP-000115,SEG-000115,AP-000115-01,2024-01,2024-01-18,2024-02-02,507.10,507.10,Pago,Boleto,Auto,Ruim
PG-ital-00000116,AP-000116,SEG-000116,AP-000116-01,2024-01,2024-01-15,2024-01-15,502.91,502.91,Pago,Cartao,Residencial,Bom
PG-ital-00000117,AP-000117,SEG-000117,AP-000117-01,2024-01,2024-01-15,2024-01-15,564.26,564.26,Pago,Cartao,Empresarial,Medio
PG-ital-00000118,AP-000118,SEG-000118,AP-000118-01,2024-01,2024-01-20,2024-01-20,803.72,803.72,Pago,Cartao,Vida,Bom
PG-ital-00000119,AP-000119,SEG-000119,AP-000119-01,2024-01,2024-01-12,2024-01-12,306.60,306.60,Pago,Boleto,Vida,Bom
PG-ital-00000120,AP-000120,SEG-000120,AP-000120-01,2024-01,2024-01-08,2024-01-08,397.67,397.67,Pago,Debito,Saude,Bom
PG-ital-00000121,AP-000121,SEG-000121,AP-000121-01,2024-01,2024-01-10,2024-01-10,749.88,749.88,Pago,Cartao,Vida,Bom
PG-ital-00000122,AP-000122,SEG-000122,AP-000122-01,2024-01,2024-01-08,2024-01-15,510.68,510.68,Pago,Boleto,Vida,Ruim
PG-ital-00000123,AP-000123,SEG-000123,AP-000123-01,2024-01,2024-01-15,2024-01-15,361.78,361.78,Pago,Debito,Vida,Bom
PG-ital-00000124,AP-000124,SEG-000124,AP-000124-01,2024-01,2024-01-08,2024-01-09,396.58,396.58,Pago,Boleto,Auto,Bom
PG-ital-00000125,AP-000125,SEG-000125,AP-000125-01,2024-01,2024-01-20,2024-02-17,746.76,746.76,Pago,Cartao,Saude,Ruim
PG-ital-00000126,AP-000126,SEG-000126,AP-000126-01,2024-01,2024-01-18,2024-01-18,815.40,815.40,Pago,Cartao,Saude,Bom
PG-ital-00000127,AP-000127,SEG-000127,AP-000127-01,2024-01,2024-01-05,2024-01-12,508.94,508.94,Pago,Debito,Residencial,Medio
PG-ital-00000128,AP-000128,SEG-000128,AP-000128-01,2024-01,2024-01-08,2024-01-08,282.51,282.51,Pago,Boleto,Vida,Bom
PG-ital-00000129,AP-000129,SEG-000129,AP-000129-01,2024-01,2024-01-05,2024-01-05,636.76,636.76,Pago,Debito,Residencial,Bom
PG-ital-00000130,AP-000130,SEG-000130,AP-000130-01,2024-01,2024-01-10,,0.00,575.05,Inadimplente,Debito,Saude,Ruim
PG-ital-00000131,AP-000131,SEG-000131,AP-000131-01,2024-01,2024-01-12,2024-01-12,822.76,822.76,Pago,Cartao,Empresarial,Bom
PG-ital-00000132,AP-000132,SEG-000132,AP-000132-01,2024-01,2024-01-15,2024-01-15,729.82,729.82,Pago,Cartao,Vida,Bom
PG-ital-00000133,AP-000133,SEG-000133,AP-000133-01,2024-01,2024-01-10,2024-01-10,502.40,502.40,Pago,Debito,Vida,Bom
PG-ital-00000134,AP-000134,SEG-000134,AP-000134-01,2024-01,2024-01-25,2024-01-25,138.28,138.28,Pago,Debito,Auto,Bom
PG-ital-00000135,AP-000135,SEG-000135,AP-000135-01,2024-01,2024-01-08,2024-01-12,235.93,235.93,Pago,Boleto,Auto,Bom
PG-ital-00000136,AP-000136,SEG-000136,AP-000136-01,2024-01,2024-01-10,2024-01-10,657.57,657.57,Pago,Debito,Auto,Bom
PG-ital-00000137,AP-000137,SEG-000137,AP-000137-01,2024-01,2024-01-20,2024-01-20,434.43,434.43,Pago,Cartao,Vida,Bom
PG-ital-00000138,AP-000138,SEG-000138,AP-000138-01,2024-01,2024-01-20,2024-01-23,657.15,657.15,Pago,Debito,Vida,Medio
PG-ital-00000139,AP-000139,SEG-000139,AP-000139-01,2024-01,2024-01-10,2024-01-17,445.52,445.52,Pago,Debito,Residencial,Medio
PG-ital-00000140,AP-000140,SEG-000140,AP-000140-01,2024-01,2024-01-08,2024-01-08,387.29,387.29,Pago,Debito,Auto,Bom
PG-ital-00000141,AP-000141,SEG-000141,AP-000141-01,2024-01,2024-01-18,2024-01-18,750.58,750.58,Pago,Debito,Auto,Bom
PG-ital-00000142,AP-000142,SEG-000142,AP-000142-01,2024-01,2024-01-12,2024-01-19,227.47,227.47,Pago,Cartao,Vida,Medio
PG-ital-00000143,AP-000143,SEG-000143,AP-000143-01,2024-01,2024-01-15,2024-01-15,682.45,682.45,Pago,Boleto,Vida,Medio
PG-ital-00000144,AP-000144,SEG-000144,AP-000144-01,2024-01,2024-01-15,2024-01-15,92.10,92.10,Pago,Cartao,Auto,Bom
PG-ital-00000145,AP-000145,SEG-000145,AP-000145-01,2024-01,2024-01-12,2024-01-12,391.43,391.43,Pago,Cartao,Empresarial,Bom
PG-ital-00000146,AP-000146,SEG-000146,AP-000146-01,2024-01,2024-01-20,2024-01-20,838.44,838.44,Pago,Cartao,Residencial,Medio
PG-ital-00000147,AP-000147,SEG-000147,AP-000147-01,2024-01,2024-01-25,2024-01-25,592.72,592.72,Pago,Cartao,Residencial,Bom
PG-ital-00000148,AP-000148,SEG-000148,AP-000148-01,2024-01,2024-01-20,2024-01-20,194.56,194.56,Pago,Debito,Auto,Bom
PG-ital-00000149,AP-000149,SEG-000149,AP-000149-01,2024-01,2024-01-20,2024-01-23,148.98,148.98,Pago,Debito,Empresarial,Medio
PG-ital-00000150,AP-000150,SEG-000150,AP-000150-01,2024-01,2024-01-08,2024-01-08,431.84,431.84,Pago,Cartao,Empresarial,Bom
PG-ital-00000151,AP-000151,SEG-000151,AP-000151-01,2024-01,2024-01-08,2024-01-09,647.37,647.37,Pago,Cartao,Vida,Bom
PG-ital-00000152,AP-000152,SEG-000152,AP-000152-01,2024-01,2024-01-18,2024-01-19,318.83,318.83,Pago,Debito,Saude,Bom
PG-ital-00000153,AP-000153,SEG-000153,AP-000153-01,2024-01,2024-01-18,2024-01-19,593.14,593.14,Pago,Cartao,Auto,Bom
PG-ital-00000154,AP-000154,SEG-000154,AP-000154-01,2024-01,2024-01-25,2024-02-06,381.76,381.76,Pago,Cartao,Saude,Medio
PG-ital-00000155,AP-000155,SEG-000155,AP-000155-01,2024-01,2024-01-18,2024-01-18,601.89,601.89,Pago,Cartao,Auto,Bom
PG-ital-00000156,AP-000156,SEG-000156,AP-000156-01,2024-01,2024-01-10,2024-01-10,250.54,250.54,Pago,Boleto,Saude,Bom
PG-ital-00000157,AP-000157,SEG-000157,AP-000157-01,2024-01,2024-01-08,2024-01-08,569.83,569.83,Pago,Debito,Vida,Bom
PG-ital-00000158,AP-000158,SEG-000158,AP-000158-01,2024-01,2024-01-25,2024-01-27,225.56,225.56,Pago,Debito,Vida,Bom
PG-ital-00000159,AP-000159,SEG-000159,AP-000159-01,2024-01,2024-01-12,2024-01-12,427.27,427.27,Pago,Cartao,Residencial,Bom
PG-ital-00000160,AP-000160,SEG-000160,AP-000160-01,2024-01,2024-01-15,2024-01-15,553.70,553.70,Pago,Cartao,Residencial,Bom
PG-ital-00000161,AP-000161,SEG-000161,AP-000161-01,2024-01,2024-01-20,2024-01-21,442.31,442.31,Pago,Debito,Saude,Bom
PG-ital-00000162,AP-000162,SEG-000162,AP-000162-01,2024-01,2024-01-20,2024-01-20,314.51,314.51,Pago,Cartao,Vida,Bom
PG-ital-00000163,AP-000163,SEG-000163,AP-000163-01,2024-01,2024-01-20,2024-01-20,492.96,492.96,Pago,Cartao,Auto,Bom
PG-ital-00000164,AP-000164,SEG-000164,AP-000164-01,2024-01,2024-01-25,2024-01-27,664.26,664.26,Pago,Cartao,Vida,Bom
PG-ital-00000165,AP-000165,SEG-000165,AP-000165-01,2024-01,2024-01-05,2024-01-05,858.41,858.41,Pago,Debito,Saude,Bom
PG-ital-00000166,AP-000166,SEG-000166,AP-000166-01,2024-01,2024-01-20,2024-01-20,419.96,419.96,Pago,Cartao,Vida,Bom
PG-ital-00000167,AP-000167,SEG-000167,AP-000167-01,2024-01,2024-01-10,2024-01-17,804.80,804.80,Pago,Boleto,Auto,Medio
PG-ital-00000168,AP-000168,SEG-000168,AP-000168-01,2024-01,2024-01-10,2024-01-10,148.62,148.62,Pago,Cartao,Saude,Bom
PG-ital-00000169,AP-000169,SEG-000169,AP-000169-01,2024-01,2024-01-05,2024-01-05,614.86,614.86,Pago,Debito,Saude,Bom
PG-ital-00000170,AP-000170,SEG-000170,AP-000170-01,2024-01,2024-01-10,2024-01-10,356.08,356.08,Pago,Boleto,Saude,Bom
PG-ital-00000171,AP-000171,SEG-000171,AP-000171-01,2024-01,2024-01-25,2024-01-25,547.18,547.18,Pago,Cartao,Vida,Bom
PG-ital-00000172,AP-000172,SEG-000172,AP-000172-01,2024-01,2024-01-05,2024-01-05,514.19,514.19,Pago,Debito,Auto,Medio
PG-ital-00000173,AP-000173,SEG-000173,AP-000173-01,2024-01,2024-01-05,2024-01-05,368.13,368.13,Pago,Debito,Vida,Bom
PG-ital-00000174,AP-000174,SEG-000174,AP-000174-01,2024-01,2024-01-25,2024-01-25,476.10,476.10,Pago,Cartao,Vida,Bom
PG-ital-00000175,AP-000175,SEG-000175,AP-000175-01,2024-01,2024-01-25,2024-01-25,818.56,818.56,Pago,Cartao,Auto,Bom
PG-ital-00000176,AP-000176,SEG-000176,AP-000176-01,2024-01,2024-01-25,2024-01-25,820.82,820.82,Pago,Cartao,Auto,Bom
PG-ital-00000177,AP-000177,SEG-000177,AP-000177-01,2024-01,2024-01-20,2024-01-20,714.50,714.50,Pago,Boleto,Saude,Bom
PG-ital-00000178,AP-000178,SEG-000178,AP-000178-01,2024-01,2024-01-15,2024-01-15,513.90,513.90,Pago,Debito,Vida,Bom
PG-ital-00000179,AP-000179,SEG-000179,AP-000179-01,2024-01,2024-01-08,2024-01-08,348.61,348.61,Pago,Cartao,Residencial,Bom
PG-ital-00000180,AP-000180,SEG-000180,AP-000180-01,2024-01,2024-01-12,2024-01-12,210.47,210.47,Pago,Debito,Saude,Bom
PG-ital-00000181,AP-000181,SEG-000181,AP-000181-01,2024-01,2024-01-12,2024-01-12,405.76,405.76,Pago,Debito,Saude,Bom
PG-ital-00000182,AP-000182,SEG-000182,AP-000182-01,2024-01,2024-01-05,2024-01-05,202.62,202.62,Pago,Cartao,Vida,Bom
PG-ital-00000183,AP-000183,SEG-000183,AP-000183-01,2024-01,2024-01-10,2024-01-10,107.89,107.89,Pago,Boleto,Residencial,Medio
PG-ital-00000184,AP-000184,SEG-000184,AP-000184-01,2024-01,2024-01-08,2024-01-08,249.94,249.94,Pago,Boleto,Saude,Bom
